PERMNO,start,ending
28388.0,2005-08-12,2023-01-04
28484.0,1984-05-17,2023-12-29
28804.0,2016-05-13,2023-12-15
29102.0,2000-10-18,2015-03-20
29946.0,1982-10-14,2023-12-29
30681.0,1997-12-24,2023-12-29
30940.0,2008-10-02,2021-03-19
32707.0,2010-03-01,2020-05-21
32791.0,2005-07-22,2009-02-25
32803.0,2018-06-18,2021-06-03
32870.0,2009-03-04,2023-12-29
32942.0,2023-10-18,2023-12-29
32986.0,2019-02-15,2023-12-29
34032.0,1981-06-18,2023-12-29
34746.0,1996-03-08,2023-12-29
34817.0,1985-04-18,2023-12-29
34833.0,1982-12-09,2023-12-29
35044.0,1998-08-28,2023-12-29
35051.0,1987-12-31,2015-08-28
35554.0,2004-02-27,2023-12-29
36003.0,2018-10-01,2023-12-29
36397.0,2002-05-06,2013-06-21
36468.0,1964-05-14,2023-12-29
36469.0,1989-02-09,2008-12-31
37161.0,2001-10-10,2016-06-30
37284.0,2007-09-27,2018-09-28
37584.0,1998-04-29,2023-12-29
38093.0,2016-05-31,2023-12-29
38156.0,1975-02-06,2023-12-29
38682.0,1984-07-19,2012-12-11
38703.0,1976-07-01,2023-12-29
38762.0,2000-11-02,2023-12-29
39087.0,1989-07-27,2013-07-08
39490.0,1997-07-28,2023-12-29
39538.0,1982-03-11,2019-06-06
39642.0,1972-09-14,2023-12-29
39917.0,1963-12-05,2023-12-29
40125.0,1981-05-14,2015-11-30
40125.0,2017-04-04,2023-10-02
40272.0,1976-03-04,2023-12-29
40416.0,1967-05-18,2015-03-20
40539.0,1985-09-26,2023-12-29
41080.0,1965-01-07,2023-12-29
41355.0,1985-11-07,2023-12-29
42024.0,1970-04-23,2008-06-20
42200.0,1985-05-09,2023-12-29
42534.0,1986-05-08,2016-09-02
42585.0,2008-11-06,2023-12-29
42796.0,1968-05-23,2011-01-03
42877.0,2015-07-01,2023-12-29
42906.0,1997-08-06,2023-12-29
43123.0,1978-10-26,2015-07-01
43350.0,1982-09-16,2023-12-29
43449.0,1970-06-25,2023-12-29
43553.0,1979-05-03,2023-12-29
43772.0,1978-07-20,2014-12-04
43772.0,2019-06-07,2019-06-10
44206.0,2009-03-17,2023-12-29
44329.0,2019-01-18,2023-12-29
44601.0,1987-12-24,2023-12-29
44644.0,1981-02-26,2023-12-29
44951.0,1985-01-31,2012-04-30
45241.0,2000-11-22,2014-06-30
45277.0,2001-09-04,2014-06-20
45356.0,1989-07-27,2009-03-16
45356.0,2010-08-27,2023-12-29
45495.0,1985-01-10,2014-08-18
45751.0,1987-08-06,2023-12-29
45794.0,2006-10-02,2010-08-26
45911.0,2015-03-12,2023-12-29
46578.0,1969-01-16,2023-12-29
46674.0,1973-11-15,2023-12-29
46703.0,2007-03-20,2023-12-29
46877.0,1975-06-12,2018-01-02
46886.0,1997-09-15,2023-12-29
47175.0,1989-05-11,2008-03-28
47466.0,1984-11-23,2010-12-17
47896.0,1976-07-01,2023-12-29
47941.0,1975-12-11,2017-06-01
48267.0,1995-12-13,2014-05-07
48274.0,1989-08-03,2011-12-12
48486.0,2012-06-05,2023-12-29
48506.0,1979-12-27,2023-12-29
48653.0,1995-12-01,2023-12-29
48725.0,1969-07-16,2023-12-29
49015.0,1976-07-01,2023-09-15
49154.0,1976-12-09,2023-12-29
49373.0,1986-11-28,2020-09-18
49429.0,1986-10-02,2008-10-21
49656.0,1995-03-31,2023-12-29
49680.0,1998-11-18,2023-12-29
49905.0,1984-10-25,2008-12-01
50017.0,2007-12-21,2018-06-15
50227.0,1970-03-05,2010-02-12
50876.0,1970-11-19,2023-12-29
51043.0,1988-08-11,2008-09-10
51263.0,2007-11-16,2009-08-31
51369.0,1999-11-15,2013-12-20
51369.0,2020-09-21,2023-12-29
51377.0,1976-12-09,2011-09-23
51706.0,2002-02-11,2011-07-05
52038.0,1986-12-18,2023-12-29
52090.0,2003-03-21,2023-12-29
52230.0,2000-12-05,2023-12-29
52329.0,2007-10-26,2023-12-29
52337.0,1979-02-08,2016-04-15
52476.0,1997-06-19,2023-12-29
