GVKEY,TICKER,DATADATE,FYEAR,CSHTR_C,CSHTR_F,PRCH_C,PRCL_C,PRCC_C,MKVALT,est_avg_price,calendar_avg,fiscal_avg,COMPANYID,ENDDATE
007154,MCD,2022-12-31,2022.0,740046678.0,740046678.0,281.67,217.675,263.53,192719.489,254.29166666666663,2936693.1666666665,2936693.1666666665,139488,
007154,MCD,2023-12-31,2023.0,672332290.0,672332290.0,299.35,236.77,296.51,214287.777,277.5433333333333,2667985.277777778,2667985.277777778,139488,
007163,SPGI,2003-12-31,2003.0,219073322.0,219073322.0,70.0,51.74,69.92,13312.4883,63.88666666666668,869338.5793650794,869338.5793650794,21719,
007163,SPGI,2004-12-31,2004.0,170638000.0,170638000.0,92.11,69.1,91.54,17375.482,84.25,677134.9206349206,677134.9206349206,21719,
007163,SPGI,2005-12-31,2005.0,362814500.0,362814500.0,53.97,40.51,51.63,19242.3977,48.703333333333326,1439740.0793650793,1439740.0793650793,21719,
007163,SPGI,2006-12-31,2006.0,409916400.0,409916400.0,69.25,46.37,68.02,24076.2912,61.21333333333333,1626652.380952381,1626652.380952381,21719,
007163,SPGI,2007-12-31,2007.0,673511627.0,673511627.0,72.5,43.46,43.81,14122.9421,53.25666666666667,2672665.186507937,2672665.186507937,21719,
007163,SPGI,2008-12-31,2008.0,701825731.0,701825731.0,47.13,17.15,23.19,7291.052,29.156666666666663,2785022.742063492,2785022.742063492,21719,
007163,SPGI,2009-12-31,2009.0,860754678.0,860754678.0,35.24,17.22,33.51,10567.0769,28.656666666666663,3415693.1666666665,3415693.1666666665,21719,
007163,SPGI,2010-12-31,2010.0,574255983.0,574255983.0,39.45,26.95,36.41,11200.4806,34.27,2278793.583333333,2278793.583333333,21719,
007163,SPGI,2011-12-31,2011.0,538743919.0,538743919.0,46.99,34.95,44.97,12411.72,42.303333333333335,2137872.6944444445,2137872.6944444445,21719,
007163,SPGI,2012-12-31,2012.0,481182305.0,481182305.0,57.44,42.02,54.67,15252.93,51.376666666666665,1909453.5912698407,1909453.5912698407,21719,
007163,SPGI,2013-12-31,2013.0,487072187.0,487072187.0,78.81,42.07,78.2,21192.2,66.36,1932826.138888889,1932826.138888889,21719,
007163,SPGI,2014-12-31,2014.0,342923493.0,342923493.0,93.94,71.93,88.98,24202.56,84.95,1360807.511904762,1360807.511904762,21719,
007163,SPGI,2015-12-31,2015.0,333731867.0,333731867.0,109.13,84.6435,98.58,26143.416,97.45116666666668,1324332.8055555555,1324332.8055555555,21719,
007163,SPGI,2016-12-31,2016.0,314198932.0,314198932.0,128.4,78.55,107.54,27777.582,104.83,1246821.1587301588,1246821.1587301588,21719,
007163,SPGI,2017-12-31,2017.0,277008360.0,277008360.0,174.07,107.87,169.4,42976.78,150.4466666666667,1099239.5238095238,1099239.5238095238,21719,
007163,SPGI,2018-12-31,2018.0,340277220.0,340277220.0,217.31,156.68,169.94,42213.096,181.31000000000003,1350306.4285714286,1350306.4285714286,21719,
007163,SPGI,2019-12-31,2019.0,299348394.0,299348394.0,275.75,163.99,273.05,66624.2,237.59666666666664,1187890.4523809524,1187890.4523809524,21719,
007163,SPGI,2020-12-31,2020.0,344883420.0,344883420.0,379.8699,186.055,328.73,79092.438,298.2183,1368585.0,1368585.0,21719,
007163,SPGI,2021-12-31,2021.0,346438536.0,346438536.0,484.21,303.5,471.93,113735.13,419.88000000000005,1374756.0952380951,1374756.0952380951,21719,
007163,SPGI,2022-12-31,2022.0,535262003.0,535262003.0,472.83,279.32,334.94,107817.186,362.3633333333333,2124055.5674603176,2124055.5674603176,21719,
007163,SPGI,2023-12-31,2023.0,308118571.0,308118571.0,443.72,321.145,440.52,138367.332,401.795,1222692.742063492,1222692.742063492,21719,
007171,MCK,1999-03-31,1998.0,137019396.0,289132500.0,96.25,47.875,79.0625,18518.544,74.39583333333333,543727.7619047619,1147351.1904761903,288195,
007171,MCK,2000-03-31,1999.0,663521900.0,579990700.0,89.75,18.5625,22.5,5950.413,43.60416666666666,2633023.412698413,2301550.396825397,288195,
007171,MCK,2003-03-31,2002.0,420917900.0,406371700.0,42.09,24.99,27.03,7259.616,31.37,1670309.126984127,1612586.111111111,288195,
007171,MCK,2004-03-31,2003.0,419319038.0,456814538.0,37.14,22.61,32.16,8735.127,30.636666666666667,1663964.4365079366,1812756.103174603,288195,
007171,MCK,2005-03-31,2004.0,474389700.0,458117600.0,35.9,22.61,31.46,11298.575,29.99,1882498.8095238088,1817926.984126984,288195,
007171,MCK,2006-03-31,2005.0,436146800.0,416707500.0,52.89,30.13,51.59,15847.52,44.870000000000005,1730741.2698412698,1653601.1904761903,288195,
007171,MCK,2007-03-31,2006.0,405308800.0,429003595.0,55.1,44.6,50.7,17269.3,50.13333333333333,1608368.253968254,1702395.2182539685,288195,
007171,MCK,2008-03-31,2007.0,478256331.0,521568135.0,68.43,50.8,65.51,14506.49,61.580000000000005,1897842.5833333333,2069714.821428572,288195,
007171,MCK,2009-03-31,2008.0,631478082.0,691589785.0,68.4,28.27,38.73,9495.84,45.13333333333333,2505865.404761905,2744403.9087301586,288195,
